Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
371,NehuÃ©n Paz,ar ARG,DF,Bologna,26,1993,3,1,117.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.77,0.77,0.0,0.77,0.4,0.4,0.0,0.27,0.04,0.31,0.27,0.31,Matches,serieA
372,Giampaolo Pazzini,it ITA,FW,Hellas Verona,34,1984,9,1,157.0,4.0,0.0,3.0,3.0,0.0,0.0,2.29,0.0,2.29,0.57,0.57,3.4,1.1,0.1,1.96,0.05,2.0,0.65,0.70,Matches,serieA
373,Pedro,br BRA,FW,Fiorentina,22,1997,4,0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.6,0.05,0.64,0.6,0.64,Matches,serieA
374,JoÃ£o Pedro,br BRA,"FW,MF",Cagliari,27,1992,24,24,2160.0,14.0,2.0,3.0,4.0,4.0,0.0,0.58,0.08,0.67,0.46,0.54,9.6,6.6,1.2,0.4,0.05,0.45,0.28,0.32,Matches,serieA
375,Gianluca Pegolo,it ITA,GK,Sassuolo,38,1981,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,serieA
376,Lorenzo Pellegrini,it ITA,MF,Roma,23,1996,18,18,1506.0,1.0,8.0,0.0,0.0,6.0,1.0,0.06,0.48,0.54,0.06,0.54,3.2,3.2,5.8,0.19,0.34,0.54,0.19,0.54,Matches,serieA
377,Luca Pellegrini,it ITA,DF,Cagliari,20,1999,19,18,1571.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.23,0.23,0.0,0.23,0.5,0.5,2.1,0.03,0.12,0.15,0.03,0.15,Matches,serieA
378,Federico Peluso,it ITA,DF,Sassuolo,35,1984,16,11,955.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,0.0,0.04,0.0,0.05,0.04,0.05,Matches,serieA
379,GastÃ³n Pereiro,uy URU,MF,Cagliari,24,1995,2,1,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.17,0.0,0.17,0.17,0.17,Matches,serieA
380,Bruno Peres,br BRA,DF,Roma,29,1990,5,2,256.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.35,0.35,0.0,0.35,0.1,0.1,0.4,0.02,0.14,0.16,0.02,0.16,Matches,serieA
381,Carles PÃ©rez,es ESP,"FW,MF",Roma,21,1998,4,0,114.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.79,0.79,0.0,0.79,0.2,0.2,0.2,0.18,0.13,0.31,0.18,0.31,Matches,serieA
382,Mattia Perin,it ITA,GK,Genoa,26,1992,8,8,720.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,serieA
383,Diego Perotti,ar ARG,"FW,MF",Roma,31,1988,14,8,718.0,3.0,1.0,3.0,3.0,1.0,0.0,0.38,0.13,0.5,0.0,0.13,2.9,0.7,1.8,0.37,0.22,0.59,0.08,0.31,Matches,serieA
384,Matteo Pessina,it ITA,"MF,FW",Hellas Verona,22,1997,23,17,1625.0,3.0,0.0,0.0,0.0,4.0,0.0,0.17,0.0,0.17,0.17,0.17,2.8,2.8,1.0,0.16,0.05,0.21,0.16,0.21,Matches,serieA
385,Andrea Petagna,it ITA,FW,SPAL,24,1995,24,23,2088.0,10.0,1.0,4.0,6.0,5.0,0.0,0.43,0.04,0.47,0.26,0.3,10.3,5.7,2.3,0.44,0.1,0.54,0.25,0.34,Matches,serieA
386,Jacopo Petriccione,it ITA,MF,Lecce,24,1995,20,16,1457.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.25,0.25,0.0,0.25,0.4,0.4,1.5,0.02,0.09,0.12,0.02,0.12,Matches,serieA
